split,patient,class_idx,class_name,gt_voxels,pred_voxels,dice,hd95,assd
val,Patient_01,1,esophagus,138928,157724,0.7305664549708075,16.297973741137742,3.7483892414415183
val,Patient_01,2,heart,365637,304332,0.8581979166200228,12.61977769465453,4.333135985327643
val,Patient_01,3,trachea,32009,24828,0.7810757077256013,17.48141667021958,3.086565827326164
val,Patient_01,4,aorta,0,0,nan,nan,nan
val,Patient_11,1,esophagus,66558,76128,0.5555695723476725,52.77175182644384,8.258136589748615
val,Patient_11,2,heart,210666,195328,0.7900461583176106,175.40005652035495,13.579518644499094
val,Patient_11,3,trachea,9948,6092,0.7033665835411471,24.084339757283306,3.3081249323305535
val,Patient_11,4,aorta,0,0,nan,nan,nan
val,Patient_15,1,esophagus,259929,76036,0.3555013171014838,33.15508538714686,9.185825831620065
val,Patient_15,2,heart,546464,713852,0.7899860035102307,77.5,16.66185646866442
val,Patient_15,3,trachea,36293,7312,0.2966173603944502,35.33473469442211,11.489425789920846
val,Patient_15,4,aorta,0,0,nan,nan,nan
val,Patient_17,1,esophagus,71619,61392,0.637105201825413,30.706214138990454,5.520755564615834
val,Patient_17,2,heart,223397,214180,0.7588881499713194,30.7110726526516,9.002716295852156
val,Patient_17,3,trachea,14747,10268,0.6329002598440936,26.891374989105785,5.007264154400894
val,Patient_17,4,aorta,0,0,nan,nan,nan
val,Patient_19,1,esophagus,87800,65060,0.5292816956692399,30.410776098691578,7.068591275178811
val,Patient_19,2,heart,359425,269168,0.7885452112893399,17.527226631303765,7.242259737753647
val,Patient_19,3,trachea,20136,380,0.0007798791187365958,47.749327068639,26.45015855499023
val,Patient_19,4,aorta,0,0,nan,nan,nan
