split,patient,class_idx,class_name,gt_voxels,pred_voxels,dice,hd95,assd
val,Patient_01,1,esophagus,32335,20336,0.37147576465227544,20.426441082101235,6.05264477049991
val,Patient_01,2,heart,365637,293192,0.8266029576718693,14.035566314343113,5.383941106539847
val,Patient_01,3,trachea,32009,7104,0.3234218801932861,20.735498366802965,4.998135130090148
val,Patient_01,4,aorta,106593,78228,0.6798037019602751,12.242531395864097,4.008553358396365
val,Patient_11,1,esophagus,21526,16628,0.27357550977617023,21.619919031686834,8.435446087949535
val,Patient_11,2,heart,210666,138220,0.7457908887143652,27.17234061447118,10.073791158907671
val,Patient_11,3,trachea,9948,2424,0.183155512447462,80.15941243055799,8.807574458619396
val,Patient_11,4,aorta,44984,24920,0.4016079194323644,38.924383335976565,8.494769461836563
val,Patient_15,1,esophagus,27084,14168,0.20144477843498498,28.784452446415614,10.87235991475201
val,Patient_15,2,heart,546464,538360,0.8074360449252598,62.55141361241461,10.613003100327026
val,Patient_15,3,trachea,36293,2660,0.08096937334736734,50.41060315560769,11.921859298294052
val,Patient_15,4,aorta,232063,35076,0.22896694230344503,34.809323796716924,12.88588786308207
val,Patient_17,1,esophagus,12515,17988,0.40927121922433857,17.75500427392752,5.141804319805252
val,Patient_17,2,heart,223397,110628,0.6366709078661776,22.18783357363022,9.897314369484395
val,Patient_17,3,trachea,14747,4404,0.29951438567176647,90.09187658639505,8.038944995085824
val,Patient_17,4,aorta,57769,35756,0.5875220529270249,47.18919328428916,6.140569824336305
val,Patient_19,1,esophagus,14990,12072,0.23072943610967409,143.28625039594147,17.464441507344574
val,Patient_19,2,heart,359425,191640,0.6747370999791313,23.23022665674356,10.547681756586206
val,Patient_19,3,trachea,20136,1572,0.002026902524414962,157.65282428248128,29.293824983355638
val,Patient_19,4,aorta,70543,31268,0.40977890404769624,41.21643118066101,10.614293384311873
