split,patient,class_idx,class_name,gt_voxels,pred_voxels,dice,hd95,assd
val,Patient_01,1,esophagus,32335,0,0.0,nan,nan
val,Patient_01,2,heart,365637,331980,0.892985692722511,8.059384239283188,3.2762715267863034
val,Patient_01,3,trachea,32009,6000,0.307506116972296,21.513924796799177,7.255155203284131
val,Patient_01,4,aorta,106593,90092,0.7563972849988561,205.17731830198994,12.58778560452794
val,Patient_11,1,esophagus,21526,0,0.0,nan,nan
val,Patient_11,2,heart,210666,172856,0.8343719525868138,110.96549673957192,10.572757514895768
val,Patient_11,3,trachea,9948,1372,0.1166077738515901,95.13054301898762,20.015986758591243
val,Patient_11,4,aorta,44984,15092,0.37166256075637527,42.748244071512154,10.706281806524709
val,Patient_15,1,esophagus,27084,0,0.0,nan,nan
val,Patient_15,2,heart,546464,515228,0.8346356570455462,16.53034850682979,6.045954540450249
val,Patient_15,3,trachea,36293,9872,0.0017329145456514675,115.6460241492124,33.85370835685912
val,Patient_15,4,aorta,232063,34800,0.2256363752187452,39.33743956741491,12.65644189925258
val,Patient_17,1,esophagus,12515,0,0.0,nan,nan
val,Patient_17,2,heart,223397,173128,0.8264750015761931,19.80102534359146,5.406153829148412
val,Patient_17,3,trachea,14747,1584,0.10336170473332926,98.96465870970869,30.734914676917022
val,Patient_17,4,aorta,57769,32264,0.5350926882365354,30.010191740294626,5.718895500263585
val,Patient_19,1,esophagus,14990,0,0.0,nan,nan
val,Patient_19,2,heart,359425,287612,0.8721665067067262,11.554113734588046,4.460424006000349
val,Patient_19,3,trachea,20136,932,0.0,120.51798498368257,52.035232574624175
val,Patient_19,4,aorta,70543,20640,0.4045710274941601,43.81372375727608,10.13377898388724
