split,patient,class_idx,class_name,gt_voxels,pred_voxels,dice,hd95,assd
val,Patient_01,1,esophagus,32335,0,0.0,nan,nan
val,Patient_01,2,heart,365637,309152,0.8849610767217604,11.507602997923264,3.33709799758483
val,Patient_01,3,trachea,32009,28256,0.8433087198207915,6.0,1.4986242998828925
val,Patient_01,4,aorta,106593,100376,0.8322985567886978,8.234967957777675,2.667019757730865
val,Patient_11,1,esophagus,21526,0,0.0,nan,nan
val,Patient_11,2,heart,210666,200700,0.9121609466995327,6.939339574018597,2.6771759439568625
val,Patient_11,3,trachea,9948,7740,0.7424242424242424,15.77759218788092,2.7114157868683346
val,Patient_11,4,aorta,44984,40348,0.6084001312520508,37.34906479367193,7.953606535958231
val,Patient_15,1,esophagus,27084,0,0.0,nan,nan
val,Patient_15,2,heart,546464,497728,0.8863925408354019,16.491829414899044,4.252212927296415
val,Patient_15,3,trachea,36293,18508,0.6250250907830149,22.622663983487946,4.428944863395845
val,Patient_15,4,aorta,232063,102276,0.5609815187579074,18.394630473348858,6.37819200019659
val,Patient_17,1,esophagus,12515,0,0.0,nan,nan
val,Patient_17,2,heart,223397,159208,0.8226395368591628,15.86672757509248,5.737812511784999
val,Patient_17,3,trachea,14747,14368,0.8479477932337283,10.0,1.9383600813887762
val,Patient_17,4,aorta,57769,50808,0.7556296453208322,25.066662826213328,3.510569677250391
val,Patient_19,1,esophagus,14990,0,0.0,nan,nan
val,Patient_19,2,heart,359425,286364,0.8827031739469083,12.230740616347113,4.42717986145364
val,Patient_19,3,trachea,20136,15196,0.7774255632288011,15.031755499112002,4.6229956241817405
val,Patient_19,4,aorta,70543,72736,0.7994193147635034,10.688934794512553,3.7536892380145317
